maNhom,tenNhom,hhpItem,dauKySL,dauKyTien,nhapSL,nhapTien,xuatSL,xuatTien
OTH-001,Khác / Chưa phân loại - 100,SV-TELECOM - Cước Viễn thông / Internet,0,0.0,0,0.0,0,0.0
PC-065,Máy tính (PC/Laptop) - JETEK,PSU-JETEK - Nguồn máy tính Jetek,166,15884088.05418792,494,44702763.53293118,659,60486851.5871191
CAM-001,Camera & An ninh - CAMERA,CAM-OTH - Camera quan sát Khác,21,15407037.52172285,60,43435883.59475095,80,58742921.11647378
PC-057,Máy tính (PC/Laptop) - Khác,SPK-SMAX - Loa máy tính SoundMax,145,13877628.15963932,433,39182786.65943158,577,52960414.81907089
LNK-010,Linh kiện máy tính - Ổ cứng,SSD-256G - Ổ cứng SSD dung lượng 120GB-256GB,469,996008768.7807742,71,38549346.69034147,95,52317914.11935946
LNK-010,Linh kiện máy tính - Ổ cứng,SSD-1TB - Ổ cứng SSD dung lượng 1TB+,24,13302319.86248594,69,37463449.60047269,92,50665769.46295863
OTH-001,Khác / Chưa phân loại - 100,PRJ-EQ - Thiết bị Máy chiếu / Màn chiếu,131,12534379.2062223,388,35110672.57242368,518,47545051.77864597
PC-057,Máy tính (PC/Laptop) - Khác,HP-GEN - Tai nghe máy tính,130,12440004.61180028,386,34929689.72411222,515,47269694.3359125
NET-003,Mạng & Kết nối - Khác,NW-SWITCH - Thiết bị chia mạng (Switch),11,11595810.82235723,31,33662809.78593198,41,45158620.60828922
OTH-001,Khác / Chưa phân loại - 100,OFFICE-EQ - Thiết bị kiểm soát (Chấm công/Mã vạch),122,11672063.9555366,360,32576912.69606321,481,44148976.65159982
VP-006,Thiết bị văn phòng - BROTHER,INK-BRO-LSR-COMPAT - Mực in Laser/Bột Brother (100K-250K (Hộp mực tương thích)),49,11570570.21562643,141,31898227.01489523,189,43368797.23052166
VP-006,Thiết bị văn phòng - BROTHER,PR-BRO-B2100 - Máy in Brother B2100/B2180 Series,117,11198896.59333781,349,31581507.03035017,465,42680403.62368798
LNK-010,Linh kiện máy tính - Ổ cứng,SSD-512G - Ổ cứng SSD dung lượng 500GB-512GB,22,11006264.23422752,57,30948067.06126005,76,41854331.29548757
NET-003,Mạng & Kết nối - Khác,NW-ROUTER-TPLINK - Bộ định tuyến WiFi (Router) TP-Link,112,10721846.06087273,335,30314627.09216993,446,40936473.15304267
VP-009,Thiết bị văn phòng - CANON,PR-CAN-LBP2900 - Máy in Canon LBP2900,543,749195816.2961035,314,28414307.18489958,418,38366470.35419694
VP-024,Thiết bị văn phòng - LASER,INK-GEN-LSR-REFILL - Mực in Laser/Bột Thường (< 100K (Bơm mực/Thay thế)),1684,163203784.7681792,124,28052341.48827665,166,38091112.91146347
PC-026,Máy tính (PC/Laptop) - DELL,KB-DELL - Bàn phím máy tính Dell,35,9858236.42009829,102,27690375.79165373,136,37448612.21175203
VP-006,Thiết bị văn phòng - BROTHER,INK-BRO-LSR-PREMIUM - Mực in Laser/Bột Brother (250K-600K (Hộp mực xịn)),40,9424490.014577959,116,26242513.00516203,155,35567003.01973999
OTH-001,Khác / Chưa phân loại - 100,FEE-GIFT - Hàng tặng / Khuyến mãi,0,0.0,0,0.0,0,0.0
PC-060,Máy tính (PC/Laptop) - Bàn phím,KB-OTH - Bàn phím máy tính Khác,819,35178637.96274049,93,25247107.33944899,124,34144322.89895038
PC-060,Máy tính (PC/Laptop) - Bàn phím,KB-LOGI - Bàn phím máy tính Logitech,1096,76047578.97237654,90,24432684.52204741,121,33318250.57074997
VP-035,Thiết bị văn phòng - MOUSE,MOUSE-RAPOO-WLS - Chuột máy tính Rapoo (Không Dây),46,8712797.386146612,136,24613667.37035887,181,33226464.75650548
VP-042,Thiết bị văn phòng - RAPOO,KB-RAPOO - Bàn phím máy tính Rapoo,31,8706325.435702825,89,24161210.24958021,119,32767535.68528303
OTH-001,Khác / Chưa phân loại - 100,USB-32G - Bộ nhớ ngoài / USB / Thẻ nhớ (32GB/Thấp),87,8326238.277837271,257,23256296.0080229,343,31482534.28586017
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-10-15M - Laptop Lenovo (Từ 10-15 Triệu),2,17247091.58899362,2,21717941.79737547,3,33042893.1280165
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-INS-10-15M - Laptop Dell Inspiron (Từ 10-15 Triệu),2,17247091.58899362,2,21717941.79737547,3,33042893.1280165
VP-009,Thiết bị văn phòng - CANON,PR-CAN-LBP240 - Máy in Canon LBP 240 Series,81,7754813.150950179,241,21808433.2215312,321,29463246.37248138
VP-006,Thiết bị văn phòng - BROTHER,PR-BRO-HL2321 - Máy in Brother HL-L2321D,191,145874669.324889,234,21174993.25244109,312,28637174.04428097
PC-057,Máy tính (PC/Laptop) - Khác,MON-GEN-22_24 - Màn hình máy tính Thường 21-24 Inch,5,7379371.674525756,9,20360570.43503951,12,27535744.27334708
SW-005,Phần mềm - Khác,SW-AV - Phần mềm diệt Virus Kaspersky,76,7271290.6680413,222,20089096.16257231,297,27260386.83061361
VP-049,Thiết bị văn phòng - Khác,PR-OTH - Máy in Hãng Khác,70,6699865.541154215,206,18641233.37608061,275,25241098.91723483
VP-049,Thiết bị văn phòng - Khác,PR-XPR - Máy in Xprinter (Máy in bill),67,6415447.367799435,199,18007793.40699049,265,24323240.77478993
VP-006,Thiết bị văn phòng - BROTHER,INK-BRO-LSR-REFILL - Mực in Laser/Bột Brother (< 100K (Bơm mực/Thay thế)),892,116920793.1847858,79,17872056.2707569,105,24093776.2391787
PC-026,Máy tính (PC/Laptop) - DELL,MOUSE-DELL-WIR - Chuột máy tính Dell (Dây),33,6222815.008689132,96,17374353.43790038,128,23497168.44658951
OTH-001,Khác / Chưa phân loại - 100,UPS-GEN - Bộ lưu điện (UPS),5,5859554.921977445,13,17645827.71036757,17,23405382.63234502
VP-006,Thiết bị văn phòng - BROTHER,PR-BRO - Máy in Brother,206,233705369.5983222,190,17193370.58958892,253,23221811.00385604
PC-026,Máy tính (PC/Laptop) - DELL,MON-DEL-22_24 - Màn hình máy tính Dell 21-24 Inch,4,12972287.68393386,7,15835999.22725295,10,22946453.56112257
VP-024,Thiết bị văn phòng - LASER,INK-GEN-LSR-COMPAT - Mực in Laser/Bột Thường (100K-250K (Hộp mực tương thích)),26,6076075.556701094,74,16740913.46881026,99,22716989.02551135
VP-009,Thiết bị văn phòng - CANON,PR-CAN - Máy in Canon,133,35944872.99898494,183,16559930.6204988,243,22303952.86141114
VP-024,Thiết bị văn phòng - LASER,INK-GEN-LSR-PREMIUM - Mực in Laser/Bột Thường (250K-600K (Hộp mực xịn)),25,5836903.095424155,71,16062227.78764228,95,21799130.88306644
PC-057,Máy tính (PC/Laptop) - Khác,MON-GEN-19_20 - Màn hình máy tính Thường 19-20 Inch,2,4915808.977757361,7,15835999.22725295,9,20651808.20501031
PC-020,Máy tính (PC/Laptop) - ASUS,MAIN-ASU-H510 - Mainboard ASUS dòng H510,53,5076081.58464868,157,14207153.59244979,209,19183235.17709847
OTH-001,Khác / Chưa phân loại - 100,NW-CABLE - Dây cáp mạng Internet,51,4883449.225538392,150,13573713.62335967,200,18357162.84889806
VP-035,Thiết bị văn phòng - MOUSE,MOUSE-OTH-WLS - Chuột máy tính Khác (Không Dây),1327,6956288.091600752,69,12487816.5334909,92,16888589.82098621
PC-067,Máy tính (PC/Laptop) - LOGITECH,WCAM-LOGI - Webcam / Thiết bị ghi hình Logitech,44,4213766.333963011,129,11673393.71608932,172,15787160.05005233
CAM-001,Camera & An ninh - CAMERA,CAM-EZVIZ - Camera quan sát EZVIZ,6,3937114.501140791,16,11582902.29193358,21,15420016.79307437
VP-023,Thiết bị văn phòng - L8050,PR-EPS-L805 - Máy in Epson L805/L8050,41,3929348.160608231,122,11039953.7469992,162,14869301.90760743
PC-020,Máy tính (PC/Laptop) - ASUS,MAIN-ASU-H610 - Mainboard ASUS dòng H610,40,3831090.395919941,117,10587496.62622054,156,14318587.02214048
VP-024,Thiết bị văn phòng - LASER,INK-GEN-LSR-OEM - Mực in Laser/Bột Thường (> 600k (Mực chính hãng/Màu)),15,3694058.86959758,47,10632742.33829841,62,14226801.20789599
VP-009,Thiết bị văn phòng - CANON,PR-CAN-LBP6030 - Máy in Canon LBP6030,39,3732832.631231653,112,10135039.50544189,150,13767872.13667354
LNK-006,Linh kiện máy tính - INTEL,CPU-I3 - Bộ vi xử lý Intel Core i3,39,3732832.631231653,112,10135039.50544189,150,13767872.13667354
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-10-15M - Laptop Dell (Từ 10-15 Triệu),1,9976782.491164431,1,10858970.89868774,1,11014297.70933883
VP-049,Thiết bị văn phòng - Khác,PR-EPS-LSER - Máy in Epson Dòng L-Series Khác,38,3638458.036809646,110,9954056.657130426,147,13492514.69394007
OTH-001,Khác / Chưa phân loại - 100,USB-64G - Bộ nhớ ngoài / USB / Thẻ nhớ (64GB),36,3448414.457876869,105,9501599.53635177,140,12850013.99422864
PC-057,Máy tính (PC/Laptop) - Khác,MON-GEN-27P - Màn hình máy tính Thường 27 Inch+,3,4818729.721100424,4,9049142.415573115,6,13767872.13667354
PC-020,Máy tính (PC/Laptop) - ASUS,PC-ASU-U8M - Máy bộ PC để bàn ASUS (Dưới 8 Triệu),2,7546416.346659954,1,7239313.932458491,2,14685730.27911844
LNK-006,Linh kiện máy tính - INTEL,CPU-I5 - Bộ vi xử lý Intel Core i5,33,3161407.504344569,96,8687176.71895019,128,11748584.22329476
PC-057,Máy tính (PC/Laptop) - Khác,SPK-OTH - Loa máy tính Khác,33,3161407.504344569,96,8687176.71895019,128,11748584.22329476
PC-026,Máy tính (PC/Laptop) - DELL,MOUSE-DELL-WLS - Chuột máy tính Dell (Không Dây),15,2975247.095678064,47,8506193.870638726,62,11381440.96631679
PC-057,Máy tính (PC/Laptop) - Khác,PSU-GEN - Nguồn máy tính Máy tính,32,3063149.739656275,91,8234719.598171533,122,11197869.33782781
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-INS-15-20M - Laptop Dell Inspiron (Từ 15-20 Triệu),2,21781707.11087496,1,10858970.89868774,1,11014297.70933883
OTH-001,Khác / Chưa phân loại - 100,USB-128G - Bộ nhớ ngoài / USB / Thẻ nhớ (128GB+),31,2968775.145234269,89,8053736.749860072,119,10922511.89509434
VP-049,Thiết bị văn phòng - Khác,INK-EPS-INK-COMPAT - Mực in Nước/Màu Epson (100K-250K (Hộp mực tương thích)),12,2734133.049268015,34,7691771.053237147,45,10325904.10250516
LNK-010,Linh kiện máy tính - Ổ cứng,HDD-1TB - Ổ cứng HDD dung lượng 1TB+,27,2589982.377457478,80,7239313.932458491,106,9729296.30991597
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-TPD-15-20M - Laptop Lenovo ThinkPad (Từ 15-20 Triệu),1,10514929.98072505,1,10858970.89868774,1,11014297.70933883
VP-001,Thiết bị văn phòng - 12A,INK-GEN-12A-REFILL - Mực in Phổ thông (12A/303) Thường (< 100K (Bơm mực/Thay thế)),10,2491724.61276919,30,6786856.811679835,40,9178581.424449028
SRV-004,Dịch vụ & Thi công - Dịch vụ,FEE-BANK - Phí dịch vụ ngân hàng / CK,0,0.0,0,0.0,0,0.0
PC-057,Máy tính (PC/Laptop) - Khác,MON-VS-27P - Màn hình máy tính ViewSonic 27 Inch+,2,3156850.546003788,3,6786856.811679835,4,9178581.424449028
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-15-20M - Laptop Dell (Từ 15-20 Triệu),0,255326.81065109,1,10858970.89868774,1,11014297.70933883
VP-035,Thiết bị văn phòng - MOUSE,MOUSE-OTH-WIR - Chuột máy tính Khác (Dây),12,2204717.659236892,33,5972433.994278255,44,8077151.653515145
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-U10M - Laptop Lenovo (Dưới 10 Triệu),0,255326.81065109,1,10858970.89868774,1,11014297.70933883
PC-057,Máy tính (PC/Laptop) - Khác,MON-VS-19_20 - Màn hình máy tính ViewSonic 19-20 Inch,3,5890438.955835246,2,4524571.207786557,3,6883936.068336771
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-TBK-10-15M - Laptop Lenovo ThinkBook (Từ 10-15 Triệu),2,11114297.70933883,0,0.0,1,11014297.70933883
PC-026,Máy tính (PC/Laptop) - DELL,MON-DEL-27P - Màn hình máy tính Dell 27 Inch+,2,3672310.747707005,2,4524571.207786557,3,6883936.068336771
PC-047,Máy tính (PC/Laptop) - MSI,LT-MSI-15-20M - Laptop MSI (Từ 15-20 Triệu),2,11114297.70933883,0,0.0,1,11014297.70933883
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-TPD-FREE - Laptop Lenovo ThinkPad (Không thu tiền),2,11114297.70933883,0,0.0,1,11014297.70933883
LNK-011,Linh kiện máy tính - Khác,RAM-8GB - Bộ nhớ RAM 8GB,6,1737506.775741708,11,4977028.328565213,14,6425006.997114319
PC-057,Máy tính (PC/Laptop) - Khác,LT-OTH-U10M - Laptop Khác (Dưới 10 Triệu),2,11114297.70933883,0,0.0,1,11014297.70933883
NET-003,Mạng & Kết nối - Khác,NW-ROUTER-TPL_OTH - Bộ định tuyến WiFi (Router) TPLink / Khác,19,1818158.550927541,51,4615062.631942288,69,6333221.182869829
VP-006,Thiết bị văn phòng - BROTHER,PR-BRO-MFC_HL - Máy in Brother Dòng Đa Năng,16,1533740.377572757,44,3981622.66285217,59,5415363.040424926
PC-057,Máy tính (PC/Laptop) - Khác,MON-VS-22_24 - Màn hình máy tính ViewSonic 21-24 Inch,6,5864819.293374331,2,4524571.207786557,2,4589290.712224514
VP-001,Thiết bị văn phòng - 12A,INK-GEN-12A-PREMIUM - Mực in Phổ thông (12A/303) Thường (250K-600K (Hộp mực xịn)),6,1302334.256828391,17,3845885.526618573,22,5048219.783446966
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-TBK-15-20M - Laptop Lenovo ThinkBook (Từ 15-20 Triệu),0,0.0,0,0.0,0,0.0
SW-005,Phần mềm - Khác,SW-GEN - Bản quyền phần mềm (Win/Office/Khác),14,1344991.188728738,40,3619656.966229246,53,4864648.154957985
PC-020,Máy tính (PC/Laptop) - ASUS,MAIN-ASU-B760 - Mainboard ASUS dòng B760,13,1246733.424040453,35,3167199.84545059,47,4313933.269491043
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-INS-O20M - Laptop Dell Inspiron (Trên 20 Triệu),0,0.0,0,0.0,0,0.0
CAM-011,Camera & An ninh - Khác,WCAM-OTH - Webcam / Thiết bị ghi hình Khác,12,1152358.829618446,33,2986216.997139127,44,4038575.826757573
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-TPD-10-15M - Laptop Lenovo ThinkPad (Từ 10-15 Triệu),0,0.0,0,0.0,0,0.0
VP-006,Thiết bị văn phòng - BROTHER,INK-BRO-LSR-OEM - Mực in Laser/Bột Brother (> 600k (Mực chính hãng/Màu)),5,1050217.894663882,10,2262285.603893279,14,3212503.49855716
OTH-001,Khác / Chưa phân loại - 100,FEE-DISC - Chiết khấu thương mại / Giảm giá,0,0.0,0,0.0,0,0.0
PC-047,Máy tính (PC/Laptop) - MSI,LT-MSI-O20M - Laptop MSI (Trên 20 Triệu),0,0.0,0,0.0,0,0.0
LNK-011,Linh kiện máy tính - Khác,RAM-4GB - Bộ nhớ RAM 4GB,52,7039180.377891261,5,2262285.603893279,6,2753574.427334709
PC-026,Máy tính (PC/Laptop) - DELL,MON-DEL-19_20 - Màn hình máy tính Dell 19-20 Inch,1,2078496.352325922,1,2262285.603893279,1,2294645.356112257
LNK-006,Linh kiện máy tính - INTEL,CPU-I7 - Bộ vi xử lý Intel Core i7,7,675308.2971533649,19,1719337.058958892,25,2294645.356112257
PC-047,Máy tính (PC/Laptop) - MSI,LT-MSI-10-15M - Laptop MSI (Từ 10-15 Triệu),0,0.0,0,0.0,0,0.0
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-15-20M - Laptop Lenovo (Từ 15-20 Triệu),0,0.0,0,0.0,0,0.0
LNK-006,Linh kiện máy tính - INTEL,CPU-CPU - Bộ vi xử lý Intel CPU,7,671425.1268870881,16,1447862.786491698,22,2019287.913378786
PC-026,Máy tính (PC/Laptop) - DELL,PC-DEL-O20M - Máy bộ PC để bàn Dell (Trên 20 Triệu),0,0.0,0,0.0,0,0.0
VP-009,Thiết bị văn phòng - CANON,INK-CAN-LSR-FREE - Mực in Laser/Bột Canon (Không thu tiền),2,348880.3869426136,6,1357371.362335967,7,1606251.74927858
PC-057,Máy tính (PC/Laptop) - Khác,LT-HP-15-20M - Laptop HP (Từ 15-20 Triệu),0,0.0,0,0.0,0,0.0
PC-057,Máy tính (PC/Laptop) - Khác,LT-HP-10-15M - Laptop HP (Từ 10-15 Triệu),0,0.0,0,0.0,0,0.0
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-FREE - Laptop Lenovo (Không thu tiền),0,0.0,0,0.0,0,0.0
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-VOS-10-15M - Laptop Dell Vostro (Từ 10-15 Triệu),27,158708073.2522246,0,0.0,0,0.0
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-U10M - Laptop Dell (Dưới 10 Triệu),0,0.0,0,0.0,0,0.0
PC-057,Máy tính (PC/Laptop) - Khác,PC-CUSTOM-FREE - Máy bộ PC để bàn Lắp ráp (Không thu tiền),0,0.0,0,0.0,0,0.0
PC-040,Máy tính (PC/Laptop) - LENOVO,PC-LEN-U8M - Máy bộ PC để bàn Lenovo (Dưới 8 Triệu),0,0.0,0,0.0,0,0.0
PC-040,Máy tính (PC/Laptop) - LENOVO,LT-LEN-TPD-O20M - Laptop Lenovo ThinkPad (Trên 20 Triệu),0,0.0,0,0.0,0,0.0
PC-057,Máy tính (PC/Laptop) - Khác,MON-SAM-27P - Màn hình máy tính Samsung 27 Inch+,0,0.0,0,0.0,0,0.0
CAM-001,Camera & An ninh - CAMERA,CAM-HIKV - Camera quan sát HIKVISION,1,844641.6346659951,1,723931.3932458491,2,1468573.027911844
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-FREE - Laptop Dell (Không thu tiền),0,0.0,0,0.0,0,0.0
PC-057,Máy tính (PC/Laptop) - Khác,LT-HP-U10M - Laptop HP (Dưới 10 Triệu),0,0.0,0,0.0,0,0.0
PC-047,Máy tính (PC/Laptop) - MSI,MAIN-MSI-GEN - Mainboard MSI dòng Bo mạch chủ,3,292632.3591102947,7,633439.969090118,9,826072.3282004126
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-LAT-U10M - Laptop Dell Latitude (Dưới 10 Triệu),0,0.0,0,0.0,0,0.0
PC-026,Máy tính (PC/Laptop) - DELL,PC-DEL-8-12M - Máy bộ PC để bàn Dell (Từ 8-12 Triệu),0,0.0,0,0.0,0,0.0
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-O20M - Laptop Dell (Trên 20 Triệu),0,0.0,0,0.0,0,0.0
VP-006,Thiết bị văn phòng - BROTHER,INK-BRO-LSR-FREE - Mực in Laser/Bột Brother (Không thu tiền),0,106471.9504437959,2,452457.1207786557,2,458929.0712224514
PC-026,Máy tính (PC/Laptop) - DELL,PC-DEL-12-20M - Máy bộ PC để bàn Dell (Từ 12-20 Triệu),0,0.0,0,0.0,0,0.0
PC-057,Máy tính (PC/Laptop) - Khác,LT-OTH-10-15M - Laptop Khác (Từ 10-15 Triệu),0,0.0,0,0.0,0,0.0
PC-026,Máy tính (PC/Laptop) - DELL,LT-DEL-LAT-10-15M - Laptop Dell Latitude (Từ 10-15 Triệu),0,0.0,0,0.0,0,0.0
LNK-001,Linh kiện máy tính - 16GB,RAM-16GB - Bộ nhớ RAM 16GB,1,415699.2704651844,1,452457.1207786557,1,458929.0712224514
PC-020,Máy tính (PC/Laptop) - ASUS,LT-ASU-10-15M - Laptop ASUS (Từ 10-15 Triệu),0,0.0,0,0.0,0,0.0
OTH-001,Khác / Chưa phân loại - 100,TỔNG CỘNG,11473,6273146147.501876,13073,2273174741.013123,17435,3075481226.580327
