Ngày,Số CT,Diễn giải,TK Nợ,TK Có,Số tiền
2023-01-02,2,Giá vốn (80%): MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50s Gen 3 i5- 12400(6*2.5)/8GD4/256GSSD/WL/BT/KB/M/W11/ĐEN( 11T0004UVN),632,1561,8218181.6
2023-01-02,2,MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50s Gen 3 i5- 12400(6*2.5)/8GD4/256GSSD/WL/BT/KB/M/W11/ĐEN( 11T0004UVN),131,511,10272727.0
2023-01-02,2,Giá vốn (80%): MÀN HÌNH VI TÍNH (LCD) LENOVO C22-20 21.5INCH/1920 x 1080/75Hz/VGA/HDMI/ĐEN/3Y(62A7KAR1WW),632,1561,43636363.2
2023-01-02,3,Máy in laser Brother HL-L2321D,131,511,48727273.0
2023-01-03,5,Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),6422,1111,290909.0
2023-01-03,2,Pin Alkaline AA Philips LR6P2B/97,6422,1111,1592760.0
2023-01-03,5,"cáp dữ liệu nối mạng CAT6 UTP truyền dữ liệu giữa các máy tính, dài 10M Ugreen ( 11205)",6422,1111,90909.0
2023-01-03,5,Cáp dữ liệu VIDEO HDMI 1.4 truyền âm thanh hình ảnh dài 25M có chipset Ugreen ( 10113),6422,1111,963636.0
2023-01-03,2,Pin minicell Philips CR2025/01B,6422,1111,130000.0
2023-01-03,7,Máy in bill Epson TM-T82 III,131,511,10063636.0
2023-01-03,2,Bộ chia cổng Cliptec RZH201,6422,1111,818170.0
2023-01-03,7,Giá vốn (80%): Máy in bill Epson TM-T82 III,632,1561,8050908.8
2023-01-03,8,Giá vốn (80%): Bộ máy vi tính,632,1561,12109091.2
2023-01-03,8,Bộ máy vi tính,131,511,15136364.0
2023-01-03,2,Bộ chia cổng Cliptec RZH209,6422,1111,818170.0
2023-01-04,12,"Giá vốn (80%): Màn hình LCD Dell P3421W 34""",632,1561,10174545.6
2023-01-04,9,Giá vốn (80%): Loa SoundMax A130,632,1561,87272.8
2023-01-04,9,Loa SoundMax A130,131,511,109091.0
2023-01-04,9,Giá vốn (80%): Chuột máy tính  Logitech B100,632,1561,50908.8
2023-01-04,9,Chuột máy tính  Logitech B100,131,511,63636.0
2023-01-04,9,Giá vốn (80%): Bàn phím Logitech K120,632,1561,109091.2
2023-01-04,9,Bàn phím Logitech K120,131,511,136364.0
2023-01-04,12,"Màn hình LCD Dell P3421W 34""",131,511,12718182.0
2023-01-04,11,Giá vốn (80%): Chuột vi tính có dây Rapoo N100,632,1561,254545.6
2023-01-04,11,Chuột vi tính có dây Rapoo N100,131,511,318182.0
2023-01-04,11,Giá vốn (80%): Bàn phím Keyboard NK2500,632,1561,560000.0
2023-01-04,11,Bàn phím Keyboard NK2500,131,511,700000.0
2023-01-04,11,Giá vốn (80%): Loa SoundMax A710/2.1,632,1561,872727.2
2023-01-04,11,Loa SoundMax A710/2.1,131,511,1090909.0
2023-01-04,11,Giá vốn (80%): Máy  in Brother HL-L2321D,632,1561,1949091.2
2023-01-04,11,Máy  in Brother HL-L2321D,131,511,2436364.0
2023-01-04,10,Giá vốn (80%): Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),632,1561,305454.4
2023-01-04,10,Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),131,511,381818.0
2023-01-05,88,"MÁY TÍNH ĐỂ BÀN HP 280 Pro G9 SFF (i5-12500 (6*3.0),8GB DDR4,256GB SSD,WL,BT,KB,M,W11SL_72K92PA)",6422,1111,11081818.0
2023-01-05,1324,Thuế GTGT: Cước dịch vụ viễn thông trả sau (Dịch vụ chịu thuế),1331,1111,23909.0
2023-01-05,1324,Cước dịch vụ viễn thông trả sau (Dịch vụ chịu thuế),6422,1111,239090.0
2023-01-05,13,Hộp mực in Izinet 12A,131,511,336364.0
2023-01-05,15,Giá vốn (80%): Hộp mực  in Ecoplus 12A,632,1561,94545.6
2023-01-05,15,Hộp mực  in Ecoplus 12A,131,511,118182.0
2023-01-05,13,Giá vốn (80%): Hộp mực in Izinet 12A,632,1561,269091.2
2023-01-05,1967,THU PHI CT ACB,6422,1121,23000.0
2023-01-05,1845,"Máy tính để bàn Lenovo ThinkCentre neo 50s Gen 3, i3-12100, 4GB, 1TB, Intel UHD Graphics 730, ac+BT, KB, M, No OS, 1Y WTY_11T000ARVA",6422,1111,14090908.0
2023-01-05,14,Giá vốn (80%): Hộp mực in Izinet 12A,632,1561,509091.2
2023-01-05,14,Hộp mực in Izinet 12A,131,511,636364.0
2023-01-05,14,Giá vốn (80%): Mực Laser TN-2385 Brother,632,1561,407272.8
2023-01-05,14,Mực Laser TN-2385 Brother,131,511,509091.0
2023-01-05,1967,Thuế GTGT: THU PHI CT ACB,6422,1121,2300.0
2023-01-06,1929293,Thuế GTGT:  Thu Phi SMS thay doi so du thang  12/2022,1331,1111,1818.0
2023-01-06,16,"Giá vốn (80%): Thiết bị thu phát vô tuyến băng tần  2,4/5 Ghz , TPLINK  ARCHER AX23",632,1561,981818.4
2023-01-06,1929293,Thu Phi SMS thay doi so du thang  12/2022,6422,1111,18182.0
2023-01-06,16,"Giá vốn (80%): Thiết bị định tuyến TP-Link 450M,2.4GHz,TL-WR940N",632,1561,312727.2
2023-01-06,16,"Thiết bị định tuyến TP-Link 450M,2.4GHz,TL-WR940N",131,511,390909.0
2023-01-06,16,"Thiết bị thu phát vô tuyến băng tần  2,4/5 Ghz , TPLINK  ARCHER AX23",131,511,1227273.0
2023-01-08,20,Giá vốn (80%): Thẻ nhớ Micro SD+Adaptor Hikvision HS-TF-C1/32GB,632,1561,465456.0
2023-01-08,21,Giá vốn (80%): MÁY TÍNH BỘ PC DELL INSPIRON 3910 CORE I5,632,1561,12800000.0
2023-01-08,21,MÁY TÍNH BỘ PC DELL INSPIRON 3910 CORE I5,131,511,16000000.0
2023-01-08,110,Tai nghe SoundMax AH314,6422,1111,1800000.0
2023-01-08,110,Tai nghe SoundMax AH304,6422,1111,1150000.0
2023-01-08,110,Loa SoundMax AS-6,6422,1111,810000.0
2023-01-08,20,Giá vốn (80%): Bàn phím Keyboard NK2500,632,1561,872728.0
2023-01-08,20,Bàn phím Keyboard NK2500,131,511,1090910.0
2023-01-08,20,Giá vốn (80%): Chuột vi tính có dây  Rapoo N100,632,1561,800000.0
2023-01-08,20,Chuột vi tính có dây  Rapoo N100,131,511,1000000.0
2023-01-08,20,Thẻ nhớ Micro SD+Adaptor Hikvision HS-TF-C1/32GB,131,511,581820.0
2023-01-08,17,Máy  In Canon Laser LBP-2900,131,511,3627273.0
2023-01-08,20,Vỏ thùng máy tính  Jetek A30,131,511,1363635.0
2023-01-08,20,Giá vốn (80%): Vỏ thùng máy tính  Jetek A30,632,1561,1090908.0
2023-01-08,57,Ghế xoay Midnight EGC205  - E-Dra,6422,1111,8704464.0
2023-01-08,19,Máy  in Brother DCP-B7535DW,131,511,5072727.0
2023-01-08,19,Giá vốn (80%): Máy  in Brother DCP-B7535DW,632,1561,4058181.6
2023-01-08,18,Dây USB 3.0 nối dài 1.5m Ugreen (30126),131,511,118182.0
2023-01-08,57,Ghế xoay Citizen EGC200 - E-Dra,6422,1111,12490082.0
2023-01-08,18,Bàn phím  Keyboard NK2500,131,511,254545.0
2023-01-08,18,Giá vốn (80%): Bàn phím  Keyboard NK2500,632,1561,203636.0
2023-01-08,17,Giá vốn (80%): Máy  In Canon Laser LBP-2900,632,1561,2901818.4
2023-01-08,18,Giá vốn (80%): Dây USB 3.0 nối dài 1.5m Ugreen (30126),632,1561,94545.6
2023-01-09,24,Hộp mực  in Ecoplus 12A,131,511,236364.0
2023-01-09,26,"Giá vốn (80%): Thiết bị chuyển mạch TP-Link,TL-SF1024D",632,1561,640000.0
2023-01-09,26,"Thiết bị chuyển mạch TP-Link,TL-SF1024D",131,511,800000.0
2023-01-09,22,"Giá vốn (80%): Ổ cứng  Seagate Expansion 1TB 2.5""",632,1561,909091.2
2023-01-09,22,"Ổ cứng  Seagate Expansion 1TB 2.5""",131,511,1136364.0
2023-01-09,23,Giá vốn (80%): MÁY TÍNH ĐỂ BÀN HP 280 PRO G9 SFF 72K92PA  -Intel Core i5-12500,632,1561,9920000.0
2023-01-09,23,MÁY TÍNH ĐỂ BÀN HP 280 PRO G9 SFF 72K92PA  -Intel Core i5-12500,131,511,12400000.0
2023-01-09,24,Giá vốn (80%): Hộp mực  in Ecoplus 12A,632,1561,189091.2
2023-01-09,25,Giá vốn (80%): Mực  in phun Brother BT5000M,632,1561,134545.6
2023-01-09,3000275,Trich thu Tien vay - Lai : 663014 - Acct vay 383583749,6422,1111,663014.0
2023-01-09,25,Giá vốn (80%): Mực  in phun Brother BT5000Y,632,1561,134545.6
2023-01-09,25,Mực  in phun Brother BT5000Y,131,511,168182.0
2023-01-09,11,Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,6422,1111,17181818.0
2023-01-09,3039252,Trich thu Tien vay - Lai : 11140822 - Acct vay 377993869,6422,1111,11140822.0
2023-01-09,27,Giá vốn (80%): Máy in phun đa năng Brother DCPT226 (màu trắng),632,1561,2756364.0
2023-01-09,27,Máy in phun đa năng Brother DCPT226 (màu trắng),131,511,3445455.0
2023-01-09,3023013,Trich thu Tien vay - Lai : 1084932 - Acct vay 383484139,6422,1111,1084932.0
2023-01-09,25,Mực  in phun Brother BT5000M,131,511,168182.0
2023-01-10,14,"Thanh ram G.Skill F3-1600C11S-8GIS, 8GB",6422,1111,500000.0
2023-01-10,5177,Thuế GTGT: THU PHI CT Vietcombank,6422,1121,2300.0
2023-01-10,15,"Thanh ram G.Skill F3-1600C11S-8GIS, 8GB",6422,1111,5000000.0
2023-01-10,15,Nguồn máy tính Corsair RM850e/CP,6422,1111,2627272.0
2023-01-10,14,Nguồn máy tính Corsair RM850e/CP,6422,1111,2627272.0
2023-01-10,5177,THU PHI CT Vietcombank,6422,1121,23000.0
2023-01-10,29,"Giá vốn (80%): Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inchFHD -1Yr, P/n 11VL0000VA",632,1561,10829091.2
2023-01-10,28,MÀN HÌNH LCD 23.8 Inch LENOVO THINKVISION S24e-20 (62AEKAR2WW),131,511,11818182.0
2023-01-10,28,Giá vốn (80%): MÀN HÌNH LCD 23.8 Inch LENOVO THINKVISION S24e-20 (62AEKAR2WW),632,1561,9454545.6
2023-01-10,28,MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50sGen 3 i5- 12400(6*2.5)/4GD4/256GSSD/WL/BT/KB/M/NoOS/ĐEN(11T000AXVA),131,511,18909091.0
2023-01-10,28,Giá vốn (80%): MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50sGen 3 i5- 12400(6*2.5)/4GD4/256GSSD/WL/BT/KB/M/NoOS/ĐEN(11T000AXVA),632,1561,15127272.8
2023-01-10,29,"Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inchFHD -1Yr, P/n 11VL0000VA",131,511,13536364.0
2023-01-10,32,Giá vốn (80%): Chuột máy tính  Dell MS116,632,1561,1090908.8
2023-01-10,76,Điện thoại có dây Panasonic KXTS500,6422,1111,2217000.0
2023-01-10,32,Giá vốn (80%): Bàn phím Dell Multimedia KB216,632,1561,1527272.8
2023-01-10,31,Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,131,511,9772727.0
2023-01-10,30,Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,131,511,9772727.0
2023-01-10,30,Giá vốn (80%): Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,632,1561,7818181.6
2023-01-10,32,Chuột máy tính  Dell MS116,131,511,1363636.0
2023-01-10,32,ổ cứng gắn trong 240GB SSD Exceria BiCS FLASH 2.5'' SATA3 Kioxia,131,511,6818182.0
2023-01-10,31,Giá vốn (80%): Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,632,1561,7818181.6
2023-01-10,32,Bộ nhớ trong Kingston 8GD4-2666,131,511,6000000.0
2023-01-10,32,Giá vốn (80%): Bộ nhớ trong Kingston 8GD4-2666,632,1561,4800000.0
2023-01-10,32,"Thanh ram G.Skill F3-1600C11S-8GIS, 8GB",131,511,7727273.0
2023-01-10,32,"Giá vốn (80%): Thanh ram G.Skill F3-1600C11S-8GIS, 8GB",632,1561,6181818.4
2023-01-10,32,Bàn phím Dell Multimedia KB216,131,511,1909091.0
2023-01-10,32,Giá vốn (80%): ổ cứng gắn trong 240GB SSD Exceria BiCS FLASH 2.5'' SATA3 Kioxia,632,1561,5454545.6
2023-01-11,34,"Giá vốn (80%): Ổ cứng gắn trong 240GB SSD EXCERIA BICS FLASH2.5""SATA3 KIOXIA",632,1561,690908.8
2023-01-11,471,Bộ nhớ máy tính xách tay Kingmax 16GB DDR4-3200,6422,1111,2209091.0
2023-01-11,471,Bộ vi xử lý vi tính Intel Core i3-10105 (BX8070110105SRH3P) + Quạt,6422,1111,12272728.0
2023-01-11,471,Bộ vi xử lý vi tính Intel Core i3-12100 (BX8071512100SRL62) + Quạt,6422,1111,2954545.0
2023-01-11,471,Ổ đĩa cứng của máy vi tính hiệu Gigabyte GP-GSTFS31240GNTD 240GB (Sata 3),6422,1111,409091.0
2023-01-11,471,Mạch chính vi tính Gigabyte H610M S2H DDR4,6422,1111,8954545.0
2023-01-11,34,Chuột máy tính Dell MS116,131,511,145455.0
2023-01-11,34,Giá vốn (80%): Bàn phím Keyboard NK2500,632,1561,174545.6
2023-01-11,34,Bàn phím Keyboard NK2500,131,511,218182.0
2023-01-11,34,"Ổ cứng gắn trong 240GB SSD EXCERIA BICS FLASH2.5""SATA3 KIOXIA",131,511,863636.0
2023-01-11,34,Giá vốn (80%): Chuột máy tính Dell MS116,632,1561,116364.0
2023-01-11,33,Tai nghe Logitech H370,131,511,500000.0
2023-01-11,33,Giá vốn (80%): Tai nghe Logitech H370,632,1561,400000.0
2023-01-11,653,"Camera kỹ thuật số có chức năng ghi EZVIZ CS-C6N(4MP,W1)",6422,1111,2950000.0
2023-01-11,653,Camera kỹ thuật số có chức năng ghi hiệu EZVIZ mã CS-C3TN (1080P COLOR) 2.8 MM- hỗ trợ thẻ nhớ trong,6422,1111,3550000.0
2023-01-11,35,Loa SoundMax A120/2.0,131,511,190909.0
2023-01-11,35,Giá vốn (80%): Loa SoundMax A120/2.0,632,1561,152727.2
2023-01-11,653,Camera quan sát CS-C6N (1080P),6422,1111,13200000.0
2023-01-11,7249,THU LAI VAY LD2234700421,6422,1111,105841.0
2023-01-11,3664,"Bộ định tuyến có chức năng  thu phát vô tuyến TP-LINK, 2,4 GHz/ W-CDMA FDD/ GSM_TL-MR6400",6422,1111,4931820.0
2023-01-11,374,THU PHI CK CTY CN QUOC GIA ADG TAI DN,6422,1111,36000.0
2023-01-11,374,Thuế GTGT: THU PHI CK CTY CN QUOC GIA ADG TAI DN,1331,1111,3600.0
2023-01-12,39,Giá vốn (80%): Camera quan sát DS-2CE76D0T-ITMFS,632,1561,1200000.0
2023-01-12,39,Giá vốn (80%): Camera quan sát CS-CV310(A0-1C2WFR),632,1561,3120000.0
2023-01-12,39,Camera quan sát CS-CV310(A0-1C2WFR),131,511,3900000.0
2023-01-12,39,Giá vốn (80%): Camera KTS EZVIZ mã CS-C3N,632,1561,463200.0
2023-01-12,39,Camera KTS EZVIZ mã CS-C3N,131,511,579000.0
2023-01-12,39,Giá vốn (80%): Camera quan sát DS-2CE56D0T-IT3,632,1561,520000.0
2023-01-12,39,Camera quan sát DS-2CE56D0T-IT3,131,511,650000.0
2023-01-12,39,Giá vốn (80%): Camera quan sát DS-2CE16D0T-IT5(C),632,1561,960000.0
2023-01-12,39,Camera quan sát DS-2CE16D0T-IT5(C),131,511,1200000.0
2023-01-12,39,Đầu ghi hình DS-7216HGHI-K2,131,511,2000000.0
2023-01-12,39,Camera quan sát DS-2CE76D0T-ITMFS,131,511,1500000.0
2023-01-12,39,Camera quan sát DS-2CE16D0T-IT3,131,511,16380000.0
2023-01-12,39,Giá vốn (80%): Bát trên khóa chốt,632,1561,560000.0
2023-01-12,39,Camera quan sát  DS-2CE12DFT-PIRXOF,131,511,2400000.0
2023-01-12,39,Giá vốn (80%): Camera quan sát DS-2CE16D0T-IT3,632,1561,13104000.0
2023-01-12,39,Giá vốn (80%): Dây cáp mạng Ensoho EN-F5CA24 FTP cat5e,632,1561,60000000.0
2023-01-12,39,Dây cáp mạng Ensoho EN-F5CA24 FTP cat5e,131,511,75000000.0
2023-01-12,39,Giá vốn (80%): Ổ điện  12Port có CB,632,1561,1600000.0
2023-01-12,39,Ổ điện  12Port có CB,131,511,2000000.0
2023-01-12,39,Giá vốn (80%): Hộp ODC 4Fo Full phụ kiện SC/UPC,632,1561,567272.8
2023-01-12,39,Hộp ODC 4Fo Full phụ kiện SC/UPC,131,511,709091.0
2023-01-12,39,Giá vốn (80%): Đầu ghi hình DS-7216HGHI-K2,632,1561,1600000.0
2023-01-12,39,Giá vốn (80%): Camera quan sát  DS-2CE12DFT-PIRXOF,632,1561,1920000.0
2023-01-12,39,Đầu ghi hình  DS-7204HUHI-K1/E(S),131,511,1500000.0
2023-01-12,41,"Giá vốn (80%): Ổ cứng gắn trong 240GB SSD EXCERIA BICS FLASH2.5""SATA3 KIOXIA",632,1561,1309091.2
2023-01-12,39,"Ổ cứng  GN WD ELEMENTS 1TB 2.5"" USB 3.0",131,511,14300000.0
2023-01-12,41,Giá vốn (80%): Thanh ram G.Skill 2400-8GB-8GIS,632,1561,1243636.0
2023-01-12,41,Thanh ram G.Skill 2400-8GB-8GIS,131,511,1554545.0
2023-01-12,41,Giá vốn (80%): Thiết bị truyền ảnh Webcam Logitech C270,632,1561,960000.0
2023-01-12,41,Thiết bị truyền ảnh Webcam Logitech C270,131,511,1200000.0
2023-01-12,41,Giá vốn (80%): Bàn phím Dell Multimedia KB216,632,1561,545454.4
2023-01-12,41,Bàn phím Dell Multimedia KB216,131,511,681818.0
2023-01-12,41,Giá vốn (80%): Chuột máy tính Logitech M331,632,1561,1032727.2
2023-01-12,41,Chuột máy tính Logitech M331,131,511,1290909.0
2023-01-12,39,Bát trên khóa chốt,131,511,700000.0
2023-01-12,41,"Ổ cứng gắn trong 240GB SSD EXCERIA BICS FLASH2.5""SATA3 KIOXIA",131,511,1636364.0
2023-01-12,40,Giá vốn (80%): Chuột máy tính Logitech B100,632,1561,43636.0
2023-01-12,40,Chuột máy tính Logitech B100,131,511,54545.0
2023-01-12,40,Giá vốn (80%): Máy chấm công vân tay RJ-3030. Hiệu: Ronald jack,632,1561,2029091.2
2023-01-12,40,Máy chấm công vân tay RJ-3030. Hiệu: Ronald jack,131,511,2536364.0
2023-01-12,36,Giá vốn (80%): Phí Thư BL số MD2116742921 Số seri AA204770 Ngày 16/06/2021 đến 16/06/2022,632,1561,10909091.2
2023-01-12,36,Phí Thư BL số MD2116742921 Số seri AA204770 Ngày 16/06/2021 đến 16/06/2022,131,511,13636364.0
2023-01-12,7663,Thuế GTGT: THU PHI CT ACB,6422,1121,2300.0
2023-01-12,7663,THU PHI CT ACB,6422,1121,23000.0
2023-01-12,38,Giá vốn (80%): Hộp mực  in Ecoplus 12A,632,1561,196364.0
2023-01-12,38,Hộp mực  in Ecoplus 12A,131,511,245455.0
2023-01-12,39,Giá vốn (80%): Đầu bấm dây cáp mạng  Ensoho EN-RJ45C5 RJ-45 cat5e,632,1561,14400000.0
2023-01-12,39,Đầu bấm dây cáp mạng  Ensoho EN-RJ45C5 RJ-45 cat5e,131,511,18000000.0
2023-01-12,39,"Giá vốn (80%): Ổ cứng  GN WD ELEMENTS 1TB 2.5"" USB 3.0",632,1561,11440000.0
2023-01-12,39,Giá vốn (80%): Đầu ghi hình  DS-7204HUHI-K1/E(S),632,1561,1200000.0
2023-01-12,39,Giá vốn (80%): Bát dưới khóa chốt,632,1561,254545.6
2023-01-12,39,Thiết bị chuyển mạch Cisco Catal C2960X-24TS-L,131,511,37200000.0
2023-01-12,39,Giá vốn (80%): Khóa chốt  YB-100+,632,1561,720000.0
2023-01-12,39,Giá vốn (80%): Bộ chuyển đổi  tín hiệu BT-HD4V1DF-T/R,632,1561,2360000.0
2023-01-12,39,Bộ chuyển đổi  tín hiệu BT-HD4V1DF-T/R,131,511,2950000.0
2023-01-12,39,Bát dưới khóa chốt,131,511,318182.0
2023-01-12,39,"Bộ chuyển đổi quang điện  TP-Link,MC112CS",131,511,700000.0
2023-01-12,39,"Giá vốn (80%): Bộ chuyển đổi quang điện  TP-Link,MC111CS",632,1561,560000.0
2023-01-12,39,"Bộ chuyển đổi quang điện  TP-Link,MC111CS",131,511,700000.0
2023-01-12,39,Giá vốn (80%): Tủ Rack 6U,632,1561,7584000.0
2023-01-12,39,Tủ Rack 6U,131,511,9480000.0
2023-01-12,39,Giá vốn (80%): Ổ cứng  GT Western 6TB-WD60PURZ,632,1561,4240000.0
2023-01-12,39,Ổ cứng  GT Western 6TB-WD60PURZ,131,511,5300000.0
2023-01-12,39,Bộ chuyển đổi  USB-C sang HUB 3.0+HDMI+RJ45(50538),131,511,900000.0
2023-01-12,39,Giá vốn (80%): Bộ chuyển đổi nguồn DS-3E1309P-EI,632,1561,13920000.0
2023-01-12,39,Giá vốn (80%): Bộ chuyển đổi quang điện AP100-20B Aptek,632,1561,2040000.0
2023-01-12,39,Bộ chuyển đổi quang điện AP100-20B Aptek,131,511,2550000.0
2023-01-12,39,Giá vốn (80%): Bộ chuyển đổi quang điện AP100-20A Aptek,632,1561,2040000.0
2023-01-12,39,Bộ chuyển đổi quang điện AP100-20A Aptek,131,511,2550000.0
2023-01-12,39,Giá vốn (80%): Đầu ghi hình DS-7632NI-K2,632,1561,3600000.0
2023-01-12,39,Đầu ghi hình DS-7632NI-K2,131,511,4500000.0
2023-01-12,39,Giá vốn (80%): Camera quan sát DS-2CD2T43G2-2I,632,1561,62400000.0
2023-01-12,39,Camera quan sát DS-2CD2T43G2-2I,131,511,78000000.0
