shdon,loaihd,month,nbten,ten,dvtinh,sluong,thtien,tthue
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ chuyển đổi quang điện AP100-20B Aptek,Bộ,6.0000,2550000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ chuyển đổi nguồn DS-3E1309P-EI,Cái,6.0000,17400000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Ổ cứng  GT Western 6TB-WD60PURZ,Cái,1.0000,5300000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Tủ Rack 6U,Cái,6.0000,9480000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Bộ chuyển đổi quang điện  TP-Link,MC111CS",Cái,1.0000,700000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Bộ chuyển đổi quang điện  TP-Link,MC112CS",Cái,1.0000,700000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ chuyển đổi  tín hiệu BT-HD4V1DF-T/R,Bộ,1.0000,2950000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ chuyển đổi  USB-C sang HUB 3.0+HDMI+RJ45(50538),Chiếc,1.0000,900000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ nguồn cấp điện Cisco AIR-PWR-C,Cái,2.0000,2100000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Cáp mạng  Aipoolink RJ45UTP CAT5E,CCA24AWG",Cuộn,7.0000,5600000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Thiết bị chuyển mạch TP-Link,TL-SG1024D",Cái,5.0000,7500000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Thiết bị chuyển mạch SF1082FP, hiệu  Aptek",Cái,1.0000,700000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Thiết bị chuyển mạch Switch 24P-LGS124,Linksys",Cái,1.0000,2200000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Thiết bị  phát HDMI Dtech DT7060,Cái,1.0000,3818182.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Thiết bị chuyển đổi nguồn điện Ruckus (902-0173-UK00),Cái,6.0000,1500000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Thiết bị chuyển mạch Cisco Catal C2960X-24TS-L,Cái,2.0000,37200000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Thiết bị chuyển mạch Switch Cisco SB19P-SG95-16,Cái,4.0000,9600000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Tủ mạng 19""42U D1000-B",Cái,1.0000,8200000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"24Ackipter SC/UPC,24 ống,có nhiệt 60mm",Sợi,1.0000,1000000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Khung giá đỡ bằng thép không gỉ  Ruckus(902-0120-0000),Cái,6.0000,4200000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Khóa chốt  YB-100+,Cái,1.0000,900000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bát dưới khóa chốt,Cái,1.0000,318182.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bát trên khóa chốt,Cái,1.0000,700000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Hộp ODC 4Fo Full phụ kiện SC/UPC,Bộ,6.0000,709091.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Ổ điện  12Port có CB,Cái,2.0000,2000000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Dây cáp mạng Ensoho EN-F5CA24 FTP cat5e,Hộp,150.0000,75000000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Đầu bấm dây cáp mạng  Ensoho EN-RJ45C5 RJ-45 cat5e,Hộp,200.0000,18000000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Camera quan sát DS-2CE16D0T-IT3,Cái,21.0000,16380000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Camera quan sát  DS-2CE12DFT-PIRXOF,Cái,2.0000,2400000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Camera quan sát DS-2CE76D0T-ITMFS,Cái,3.0000,1500000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Camera quan sát DS-2CE16D0T-IT5(C),Cái,2.0000,1200000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Camera quan sát DS-2CE56D0T-IT3,Cái,1.0000,650000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Camera KTS EZVIZ mã CS-C3N,Cái,1.0000,579000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Camera quan sát CS-CV310(A0-1C2WFR),Cái,6.0000,3900000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Đầu ghi hình DS-7216HGHI-K2,Cái,1.0000,2000000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Đầu ghi hình  DS-7204HUHI-K1/E(S),Cái,1.0000,1500000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Ổ cứng  GN WD ELEMENTS 1TB 2.5"" USB 3.0",Cái,13.0000,14300000.00,0.00
38,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Hộp mực  in Ecoplus 12A,Hộp,2.0000,245455.00,0.00
37,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Ru lô sấy,Cái,1.0000,1409091.00,0.00
36,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Phí Thư BL số MD2116742921 Số seri AA204770 Ngày 16/06/2021 đến 16/06/2022,Cái,1.0000,13636364.00,0.00
35,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Loa SoundMax A120/2.0,Bộ,1.0000,190909.00,0.00
34,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Ổ cứng gắn trong 240GB SSD EXCERIA BICS FLASH2.5""SATA3 KIOXIA",Cái,1.0000,863636.00,0.00
33,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Tai nghe Logitech H370,Cái,1.0000,500000.00,0.00
32,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,ổ cứng gắn trong 240GB SSD Exceria BiCS FLASH 2.5'' SATA3 Kioxia,Cái,10.0000,6818182.00,0.00
32,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ nhớ trong Kingston 8GD4-2666,Cái,10.0000,6000000.00,0.00
32,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Thanh ram G.Skill F3-1600C11S-8GIS, 8GB",Cái,10.0000,7727273.00,0.00
32,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bàn phím Dell Multimedia KB216,Cái,10.0000,1909091.00,0.00
32,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Chuột máy tính  Dell MS116,Cái,10.0000,1363636.00,0.00
31,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,Cái,1.0000,9772727.00,0.00
30,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,Cái,1.0000,9772727.00,0.00
29,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inchFHD -1Yr, P/n 11VL0000VA",Bộ,1.0000,13536364.00,0.00
28,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50sGen 3 i5- 12400(6*2.5)/4GD4/256GSSD/WL/BT/KB/M/NoOS/ĐEN(11T000AXVA),Cái,2.0000,18909091.00,0.00
28,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÀN HÌNH LCD 23.8 Inch LENOVO THINKVISION S24e-20 (62AEKAR2WW),Cái,5.0000,11818182.00,0.00
27,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy in phun đa năng Brother DCPT226 (màu trắng),Cái,1.0000,3445455.00,0.00
26,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Thiết bị chuyển mạch TP-Link,TL-SF1024D",Cái,1.0000,800000.00,0.00
25,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Mực  in phun Brother BT5000Y,Hộp,1.0000,168182.00,0.00
25,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Mực  in phun Brother BT5000M,Hộp,1.0000,168182.00,0.00
24,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Hộp mực  in Ecoplus 12A,Hộp,2.0000,236364.00,0.00
23,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÁY TÍNH ĐỂ BÀN HP 280 PRO G9 SFF 72K92PA  -Intel Core i5-12500,Bộ,1.0000,12400000.00,0.00
22,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Ổ cứng  Seagate Expansion 1TB 2.5""",Cái,1.0000,1136364.00,0.00
21,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÁY TÍNH BỘ PC DELL INSPIRON 3910 CORE I5,Cái,1.0000,16000000.00,0.00
20,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Vỏ thùng máy tính  Jetek A30,Cái,5.0000,1363635.00,0.00
20,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Thẻ nhớ Micro SD+Adaptor Hikvision HS-TF-C1/32GB,Cái,10.0000,581820.00,0.00
20,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Chuột vi tính có dây  Rapoo N100,Cái,20.0000,1000000.00,0.00
20,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bàn phím Keyboard NK2500,Cái,10.0000,1090910.00,0.00
19,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy  in Brother DCP-B7535DW,Cái,1.0000,5072727.00,0.00
18,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Dây USB 3.0 nối dài 1.5m Ugreen (30126),Chiếc,1.0000,118182.00,0.00
18,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bàn phím  Keyboard NK2500,Cái,2.0000,254545.00,0.00
17,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy  In Canon Laser LBP-2900,Cái,1.0000,3627273.00,0.00
16,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Thiết bị định tuyến TP-Link 450M,2.4GHz,TL-WR940N",Cái,1.0000,390909.00,0.00
16,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Thiết bị thu phát vô tuyến băng tần  2,4/5 Ghz , TPLINK  ARCHER AX23",Cái,1.0000,1227273.00,0.00
15,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Hộp mực  in Ecoplus 12A,Hộp,1.0000,118182.00,0.00
14,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Mực Laser TN-2385 Brother,Hộp,1.0000,509091.00,0.00
14,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Hộp mực in Izinet 12A,Hộp,4.0000,636364.00,0.00
13,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Hộp mực in Izinet 12A,Hộp,1.0000,336364.00,0.00
12,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Màn hình LCD Dell P3421W 34""",Cái,1.0000,12718182.00,0.00
11,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy  in Brother HL-L2321D,Cái,1.0000,2436364.00,0.00
11,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Loa SoundMax A710/2.1,Bộ,3.0000,1090909.00,0.00
11,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bàn phím Keyboard NK2500,Cái,7.0000,700000.00,0.00
11,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Chuột vi tính có dây Rapoo N100,Cái,7.0000,318182.00,0.00
10,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),Chiếc,1.0000,381818.00,0.00
9,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bàn phím Logitech K120,Cái,1.0000,136364.00,0.00
9,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Chuột máy tính  Logitech B100,Cái,1.0000,63636.00,0.00
9,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Loa SoundMax A130,Bộ,1.0000,109091.00,0.00
8,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ máy vi tính,Bộ,1.0000,15136364.00,0.00
7,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy in bill Epson TM-T82 III,Cái,3.0000,10063636.00,0.00
7,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Dây nguồn,Sợi,3.0000,0.00,0.00
6,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Hộp mực in Ecoplus 12A,Hộp,1.0000,109091.00,0.00
5,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Phần mềm Kaspersky KL1941MCCFS,Cái,1.0000,650000.00,0.00
4,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy đếm tiền Mazsan MS - 5700C,Cái,1.0000,2731482.00,0.00
3,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy in laser Brother HL-L2321D,Cái,20.0000,48727273.00,0.00
3,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy in đa chức năng Brother MFCL2701D,Cái,5.0000,23318182.00,0.00
2,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy in laser Brother HL-L2321D,Cái,30.0000,73090909.00,0.00
2,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÀN HÌNH VI TÍNH (LCD) LENOVO C22-20 21.5INCH/1920 x 1080/75Hz/VGA/HDMI/ĐEN/3Y(62A7KAR1WW),Cái,30.0000,54545454.00,0.00
2,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50s Gen 3 i5- 12400(6*2.5)/8GD4/256GSSD/WL/BT/KB/M/W11/ĐEN( 11T0004UVN),Cái,1.0000,10272727.00,0.00
1,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inch FHD -1Yr, P/n 11VL0000VA",Bộ,1.0000,13536364.00,0.00
180,banra,2,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Hộp mực  in Izinet 12A,Hộp,4.0000,954545.00,0.00
179,banra,2,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Cổng nối mạng TL - SG1005D TP-Link,Cái,4.0000,836364.00,0.00
179,banra,2,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Đầu bấm dây cáp mạng Ensoho  RJ-45 cat5e,Hộp,6.0000,436364.00,0.00
179,banra,2,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Thiết bị định tuyến TP-Link 2.4GHz/5GHz Archer C50,Cái,8.0000,3200000.00,0.00
179,banra,2,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Dây cáp mạng Ensoho EN-F6CA24 FTP cat6,Thùng,3.0000,2481818.00,0.00
179,banra,2,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"CÁP CAT6 4UTP,23AWG,CM",Thùng,1.0000,2636364.00,0.00
179,banra,2,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Tủ Rack 6U,Cái,1.0000,778182.00,0.00
179,banra,2,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,THIẾT BỊ CHUYỂN MẠCH CISCO WS-C2960 CG-8TCL,Cái,1.0000,7227272.00,0.00
